timeStemp,Label,AP1_Corrected Distance (mm),AP2_Corrected Distance (mm),AP3_Corrected Distance (mm),AP4_Corrected Distance (mm),AP1_Rssi,AP2_Rssi,AP3_Rssi,AP4_Rssi
725394134,11-8,2952.1203506278134,1904.8180883864336,3334.2826629681,4484.045,-67.0,-63.0,-49.0,-59.0
725394149,11-8,2861.4888471472177,2223.428902116402,2829.870888157895,4303.793458509994,-67.0,-62.0,-45.0,-57.0
725394164,11-8,3144.1846426986244,2243.761096605744,3345.418591706095,4299.453206938282,-67.0,-63.0,-50.0,-59.0
725394178,11-8,2908.164611872146,2088.889813581891,3097.1399945100197,4541.264938221591,-67.0,-63.0,-47.0,-60.0
725394193,11-8,3068.336946702801,2158.3717647058825,2238.0427852348994,4798.684941655863,-67.0,-63.0,-44.0,-58.0
725394208,11-8,3970.23899654499,2708.5120152272184,2294.4,4448.742384506759,-66.0,-63.0,-45.0,-60.0
725394222,11-8,1562.338231863774,2260.7313383755345,3065.5845577643327,4470.386377457936,-57.0,-63.0,-49.0,-60.0
725394237,11-8,2657.9210833527904,2265.5709219858154,3264.248550124275,4497.537612838516,-66.0,-63.0,-49.0,-59.0
725394252,11-8,3725.552486187845,2468.3711340206187,3217.080717488789,4359.241104294479,-66.0,-64.0,-48.0,-60.0
725394267,11-8,3157.857305416477,2482.7686325340246,2114.669926650367,4588.499295349306,-66.0,-63.0,-45.0,-60.0
725394282,11-8,2638.7247924080666,2539.8646551724137,3168.4076792772444,4837.599892780558,-66.0,-63.0,-47.0,-56.0
725394296,11-8,2989.3830086834078,2079.888962545575,3244.5697641375396,4756.264168530947,-66.0,-63.0,-49.0,-57.0
725394310,11-8,2759.727515151515,2204.901860166773,3108.691446613089,4316.809116242038,-66.0,-63.0,-49.0,-54.0
725394325,11-8,2919.495988998396,2632.0542110358183,3075.9592924126173,4490.412543270209,-65.0,-63.0,-44.0,-59.0
725394339,11-8,3594.515846257586,2903.0683658885187,3183.6879432624114,4456.834276475343,-65.0,-63.0,-49.0,-59.0
725394353,11-8,3111.9092991296384,2781.619062307217,3093.2179820757447,4441.5742195367575,-65.0,-64.0,-49.0,-59.0
725394367,11-8,2732.5674507921267,2447.04691898655,3355.050808969628,4508.390307661372,-66.0,-64.0,-49.0,-59.0
725394381,11-8,3610.710997442455,3004.704388560158,3367.915102269543,4466.764431841199,-65.0,-64.0,-47.0,-59.0
725394395,11-8,2567.0170132325143,2599.947823807027,3326.973360068748,4523.854923325263,-65.0,-64.0,-49.0,-59.0
725394408,11-8,2704.566751799396,3294.4602132895816,3225.344071091364,4373.556761268781,-66.0,-63.0,-49.0,-59.0
725394422,11-8,3209.718169460806,2439.294492199936,3099.5176230702014,4496.822185970636,-65.0,-63.0,-49.0,-59.0
725394436,11-8,3771.4636632200886,2354.88524590164,3158.598367576696,4516.564262691379,-65.0,-63.0,-49.0,-59.0
725394450,11-8,,,3074.442068766252,4533.001415285078,,,-49.0,-59.0
725394451,11-8,3535.8737316798192,2154.75033557047,,,-65.0,-63.0,,
725394465,11-8,4073.52965885947,1800.2047002724796,3247.2098901098893,4474.014201663623,-51.0,-63.0,-49.0,-59.0
725394481,11-8,2257.2201879065287,1810.6889345666325,2056.176684372379,4588.499295349306,-65.0,-63.0,-47.0,-59.0
725394495,11-8,3328.8986083499008,2081.422018348624,2988.790844062947,4414.299074620989,-66.0,-63.0,-49.0,-59.0
725394509,11-8,3563.2359005457856,1901.90778401122,2907.4147560258666,4408.719712115154,-66.0,-63.0,-50.0,-59.0
725394522,11-8,3045.853897656624,2219.136216914138,3005.1277330264675,4526.594992933576,-67.0,-63.0,-49.0,-59.0
725394537,11-8,3132.503297220914,2207.842260926717,3211.0765828034287,4481.28754318228,-67.0,-63.0,-47.0,-59.0
725394552,11-8,2993.2545412738564,2017.226864640884,3173.1441418935806,4381.739058968564,-67.0,-63.0,-46.0,-59.0
725394565,11-8,2662.530057142857,2177.3181968843223,3321.3840840011053,4390.212348178137,-66.0,-63.0,-50.0,-59.0
725394579,11-8,2914.148737137512,2392.214983713355,3248.8011188811183,4726.8212920489295,-66.0,-63.0,-49.0,-55.0
725394594,11-8,2945.147052023121,2324.166328600405,3258.8282828282827,4400.902800324675,-66.0,-63.0,-49.0,-59.0
725394609,11-8,2570.053465814999,1937.3393728223,3010.760240618734,4522.936296884303,-66.0,-63.0,-44.0,-60.0
725394624,11-8,2906.601617132867,2534.2903806584363,3127.542881894311,4493.031062124249,-65.0,-64.0,-49.0,-59.0
725394638,11-8,3159.888354817566,2763.6955161626693,3072.533617021277,4369.410739052903,-65.0,-64.0,-49.0,-54.0
725394653,11-8,3841.326473614582,2982.4144616190724,3000.811261131859,4472.199553843034,-65.0,-64.0,-49.0,-59.0
