Starting Wi-Fi RTT Ranging...
Label: 11-3, Timestamp: 2025-01-03 19:37:47.351, AP SSID: MCSLab RTT AP2, BSSID: 24:29:34:e1:ef:d4, Rssi: -53, Distance: 219 mm, StdDev: 792 mm, timeStemp: 6672657743, mcOn: true
Label: 11-3, Timestamp: 2025-01-03 19:37:47.351, AP SSID: MCSLab RTT AP2, BSSID: 24:29:34:e1:ef:d4, Rssi: -53, Distance: 219 mm, StdDev: 792 mm, timeStemp: 6672657743, mcOn: true
Label: 11-3, Timestamp: 2025-01-03 19:37:47.351, AP SSID: MCSLab RTT AP3, BSSID: e4:5e:1b:a0:5e:85, Rssi: -58, Distance: 6894 mm, StdDev: 927 mm, timeStemp: 6672657743, mcOn: true
Label: 11-3, Timestamp: 2025-01-03 19:37:47.351, AP SSID: MCSLab RTT AP2, BSSID: 24:29:34:e1:ef:d4, Rssi: -53, Distance: 219 mm, StdDev: 792 mm, timeStemp: 6672657743, mcOn: true
Label: 11-3, Timestamp: 2025-01-03 19:37:47.351, AP SSID: MCSLab RTT AP3, BSSID: e4:5e:1b:a0:5e:85, Rssi: -58, Distance: 6894 mm, StdDev: 927 mm, timeStemp: 6672657743, mcOn: true
Label: 11-3, Timestamp: 2025-01-03 19:37:47.351, AP SSID: MCSLab RTT AP1, BSSID: 24:29:34:e2:4c:36, Rssi: -73, Distance: 5132 mm, StdDev: 225 mm, timeStemp: 6672657743, mcOn: true
Label: 11-3, Timestamp: 2025-01-03 19:37:47.351, AP SSID: MCSLab RTT AP2, BSSID: 24:29:34:e1:ef:d4, Rssi: -53, Distance: 219 mm, StdDev: 792 mm, timeStemp: 6672657743, mcOn: true
Label: 11-3, Timestamp: 2025-01-03 19:37:47.351, AP SSID: MCSLab RTT AP3, BSSID: e4:5e:1b:a0:5e:85, Rssi: -58, Distance: 6894 mm, StdDev: 927 mm, timeStemp: 6672657743, mcOn: true
Label: 11-3, Timestamp: 2025-01-03 19:37:47.351, AP SSID: MCSLab RTT AP1, BSSID: 24:29:34:e2:4c:36, Rssi: -73, Distance: 5132 mm, StdDev: 225 mm, timeStemp: 6672657743, mcOn: true
Label: 11-3, Timestamp: 2025-01-03 19:37:47.351, AP SSID: MCSLab RTT AP3, BSSID: b0:e4:d5:88:16:86, Rssi: -63, Distance: 2938 mm, StdDev: 349 mm, timeStemp: 6672657743, mcOn: true
Label: 11-3, Timestamp: 2025-01-03 19:37:47.477, AP SSID: MCSLab RTT AP2, BSSID: 24:29:34:e1:ef:d4, Rssi: -53, Distance: -492 mm, StdDev: 408 mm, timeStemp: 6672657869, mcOn: true
Label: 11-3, Timestamp: 2025-01-03 19:37:47.477, AP SSID: MCSLab RTT AP2, BSSID: 24:29:34:e1:ef:d4, Rssi: -53, Distance: -492 mm, StdDev: 408 mm, timeStemp: 6672657869, mcOn: true
Label: 11-3, Timestamp: 2025-01-03 19:37:47.477, AP SSID: MCSLab RTT AP3, BSSID: e4:5e:1b:a0:5e:85, Rssi: -57, Distance: 6631 mm, StdDev: 1149 mm, timeStemp: 6672657868, mcOn: true
Label: 11-3, Timestamp: 2025-01-03 19:37:47.477, AP SSID: MCSLab RTT AP2, BSSID: 24:29:34:e1:ef:d4, Rssi: -53, Distance: -492 mm, StdDev: 408 mm, timeStemp: 6672657869, mcOn: true
Label: 11-3, Timestamp: 2025-01-03 19:37:47.477, AP SSID: MCSLab RTT AP3, BSSID: e4:5e:1b:a0:5e:85, Rssi: -57, Distance: 6631 mm, StdDev: 1149 mm, timeStemp: 6672657868, mcOn: true
Label: 11-3, Timestamp: 2025-01-03 19:37:47.477, AP SSID: MCSLab RTT AP1, BSSID: 24:29:34:e2:4c:36, Rssi: -70, Distance: 5444 mm, StdDev: 1177 mm, timeStemp: 6672657869, mcOn: true
Label: 11-3, Timestamp: 2025-01-03 19:37:47.477, AP SSID: MCSLab RTT AP2, BSSID: 24:29:34:e1:ef:d4, Rssi: -53, Distance: -492 mm, StdDev: 408 mm, timeStemp: 6672657869, mcOn: true
Label: 11-3, Timestamp: 2025-01-03 19:37:47.477, AP SSID: MCSLab RTT AP3, BSSID: e4:5e:1b:a0:5e:85, Rssi: -57, Distance: 6631 mm, StdDev: 1149 mm, timeStemp: 6672657868, mcOn: true
Label: 11-3, Timestamp: 2025-01-03 19:37:47.477, AP SSID: MCSLab RTT AP1, BSSID: 24:29:34:e2:4c:36, Rssi: -70, Distance: 5444 mm, StdDev: 1177 mm, timeStemp: 6672657869, mcOn: true
Label: 11-3, Timestamp: 2025-01-03 19:37:47.477, AP SSID: MCSLab RTT AP3, BSSID: b0:e4:d5:88:16:86, Rssi: -61, Distance: 2704 mm, StdDev: 1001 mm, timeStemp: 6672657868, mcOn: true
Label: 11-3, Timestamp: 2025-01-03 19:37:47.603, AP SSID: MCSLab RTT AP2, BSSID: 24:29:34:e1:ef:d4, Rssi: -53, Distance: 190 mm, StdDev: 844 mm, timeStemp: 6672657995, mcOn: true
Label: 11-3, Timestamp: 2025-01-03 19:37:47.603, AP SSID: MCSLab RTT AP2, BSSID: 24:29:34:e1:ef:d4, Rssi: -53, Distance: 190 mm, StdDev: 844 mm, timeStemp: 6672657995, mcOn: true
Label: 11-3, Timestamp: 2025-01-03 19:37:47.603, AP SSID: MCSLab RTT AP3, BSSID: e4:5e:1b:a0:5e:85, Rssi: -60, Distance: 5478 mm, StdDev: 617 mm, timeStemp: 6672657995, mcOn: true
