timeStemp,Label,AP1_Corrected Distance (mm),AP2_Corrected Distance (mm),AP3_Corrected Distance (mm),AP4_Corrected Distance (mm)
493455190,1,-36.62481752,6745.142387,7124.820143,4384.405318
493449832,1,28.88469602,6910.423639,7065.207989,2059.987733
493455032,1,479.1115242,7308.060816,7082.270035,3968.63123
493452774,1,349.1755577,6817.331671,7299.526194,4011.057257
493451460,1,533.5651769,7237.727523,7196.287536,4045.227857
493449873,1,375.3910323,6921.253892,7240.993709,3739.23105
493450552,1,449.3489736,7160.79001,7134.838425,4176.609496
493453091,1,367.3469388,6952.677188,7197.196388,3714.862419
493452164,1,442.0038462,6890.297587,6155.358307,4676.892648
493449390,1,322.7907692,7088.641055,7513.708215,4743.627585
493451753,1,350.877193,6984.093985,7022.542593,4074.922755
493451740,1,333.3333333,7190.253053,7346.862858,4022.286509
493449350,1,416.2293578,7106.940933,7264.126998,4295.18409
493449094,1,157.7809187,7450.055856,6990.929953,4082.815382
493454886,1,504.920666,7363.844367,7201.238509,4398.888473
493450522,1,321.8006135,6973.208467,7224.298706,4070.054238
493452299,1,571.8555957,6949.529121,7089.542292,4620.870773
493455047,1,492.8527725,7313.239236,7188.388988,4006.473374
493450667,1,409.5496489,7074.969216,7327.27717,4119.093331
493450610,1,398.6710963,8054.326058,7274.368267,4260.502347
493452438,1,454.6824926,6806.722689,5331.365029,3791.404779
493451095,1,470.7774725,6784.976611,7292.937809,3861.705404
493455018,1,385.4389722,7551.324976,7135.334453,4024.059574
493454581,1,509.5034688,7364.647579,7223.373463,3984.882741
493453932,1,365.8536585,6840.690704,7378.224231,4228.007717
493451225,1,424.0093458,7023.245008,7231.644444,3818.109697
493451446,1,403.8783383,7002.127942,7226.401344,3816.650583
493452226,1,492.8527725,6775.779041,7159.548615,4631.876878
493454770,1,471.6596523,8240.606473,7277.432258,3750.177089
493450992,1,393.7521697,6981.137482,7345.767016,3895.834205
493453729,1,527.6694291,6865.30428,7429.236016,3955.332171
493453409,1,483.1663534,6952.42132,6933.341454,3665.842839
493451417,1,424.0093458,6867.28072,6515.361086,3607.119002
493452359,1,495.6961538,,7244.714194,4276.458492
493450537,1,407.9130869,7020.32474,6231.618653,4180.682257
493451870,1,427.2854495,6941.326829,7200.319163,4086.062511
493451051,1,309.460177,6962.282324,7297.559442,3676.262988
493453554,1,321.4719101,6713.187507,7334.026707,3714.862419
493451152,1,461.9939698,7226.335153,7188.131487,3713.131769
493453743,1,339.1390086,6683.194932,7369.030783,4005.727812
493453005,1,504.920666,6978.26419,6243.418953,3790.601493
493450158,1,504.0088235,7027.629969,7267.117639,4442.251704
493454324,1,463.6007194,8076.446053,7100.478725,3453.822569
493451325,1,348.1426991,6775.072568,7195.72595,4653.429105
493453685,1,334.8095745,6754.747979,7135.750575,3826.366721
493454092,1,354.679803,6794.739022,5899.598354,4780.937402
493450027,1,333.0380952,7046.694908,7402.790659,4221.148299
493452255,1,550.9704348,6868.151477,7298.591317,4640.378855
493454902,1,405.8856859,8051.257558,6955.516544,4328.981864
493453482,1,439.8889952,6939.185616,7054.230396,3660.472624
493450680,1,321.4719101,7278.301184,7394.935951,3857.31203
493452586,1,266.3116438,6858.666109,7394.935951,4202.533251
493452818,1,403.479249,6940.606476,7177.963092,3996.574291
493451960,1,508.9245115,,7156.794589,4031.923255
493453569,1,317.2590726,6805.58452,7063.508099,3485.440118
493451931,1,309.460177,6889.840733,7075.268479,4063.720173
493451961,1,,6874.566314,,
493451711,1,428.4100652,6898.908665,7461.918678,3931.135563
493453977,1,618.6557232,6745.543396,7304.204178,3842.92212
493454654,1,524.2900274,7154.795781,7322.976227,3459.41776
493449488,1,306.4469328,7046.82677,7119.698891,4458.461719
493450964,1,436.9619772,6982.581059,7206.75952,3750.29715
493453714,1,291.1153846,6847.928191,7220.907375,3944.587491
493454106,1,-49.58351254,6825.842697,7077.935751,4565.579264
493452918,1,530.1100833,6849.357971,7173.009094,4839.266905
493454412,1,489.1119545,6909.058264,7292.014184,3613.492589
493449818,1,386.6809882,6751.913126,7356.297943,4031.031584
493450567,1,350.877193,7431.553396,7058.73453,4271.066128
493452557,1,533.1168563,6971.170654,7280.948912,3968.6546
493453991,1,440.7325024,6807.010371,7084.199292,3576.946711
493449067,1,259.7559581,7402.499314,7314.516878,4264.976907
493455292,1,380.1478353,6879.563921,7131.649322,4370.785578
493453467,1,,,,3687.181355
493451239,1,-5.040139616,7130.77014,7352.266052,3847.435509
493451124,1,343.2071974,7087.852064,7221.003811,3837.307125
493451475,1,450.2291871,7372.873799,7352.377831,4090.607016
493451577,1,231.8094012,6961.557614,7591.080506,4655.249748
493449135,1,467.3834995,7025.188742,7315.455841,3966.506498
493452513,1,481.3482726,6827.973775,7141.833137,4400.650684
493450450,1,539.594162,6947.385527,7159.380946,4160.530889
493450129,1,336.6,7284.464014,7147.337474,4254.231296
493449517,1,302.9076035,6890.297587,7349.724789,4414.334074
493453033,1,530.1100833,7014.202572,7078.736969,3713.517915
493451350,1,380.1478353,6969.745349,7318.894623,3738.031677
493455074,1,392.6163462,7307.591947,7034.199794,4122.925394
493452730,1,300.0200191,7129.743945,7409.854495,4566.983757
493451781,1,276.6335025,7086.4514,7101.252036,3986.321969
493454310,1,309.1561886,7281.402722,7314.516878,3304.058824
493452421,1,294.5772973,7331.387189,6363.718116,3705.253197
493455262,1,399.5313112,6804.159267,7430.466051,4370.943929
493451725,1,358.9232303,7117.888889,7298.484472,3842.92212
493450245,1,414.1186613,7155.968757,7130.22756,4524.640095
493452498,1,16.1937751,6753.474009,7256.832218,4082.342498
493451297,1,301.7541528,6880.892923,7168.289273,
493452122,1,513.9452915,6858.666109,7399.965526,4665.212032
493451080,1,253.575,6971.968838,7243.854201,3519.059033
493448974,1,1085.650514,6438.496982,9226.258181,5674.727946
493450289,1,668.4803452,7494.564032,7342.226983,4257.305571
493454178,1,-0.787939698,6890.359168,7422.020207,4038.866083
493449952,1,327.4932362,6921.253892,7130.728634,4152.325777
493453962,1,400.1008065,6811.94919,7222.448457,3906.562374
493450736,1,223.0045249,6982.635623,7355.054874,4257.19784
493453772,1,455.124383,6774.366243,7322.035333,4160.530889
493450347,1,508.4063116,7344.010874,7457.811675,4618.229617
493451022,1,432.8474576,6950.698888,7249.383157,4516.536078
493453903,1,285.3235602,7215.158894,7111.347875,4136.857267
493454755,1,401.4955752,8026.077668,7502.467459,3897.136277
493453222,1,534.0624418,7004.054876,7273.439821,4043.803732
493450361,1,418.7907692,7020.258264,7224.298706,4220.884508
493452947,1,280.3333333,6919.085126,7081.362051,3308.028309
493449938,1,428.4100652,6899.627226,7250.305471,4098.912599
493449316,1,346.2277228,7132.27627,7260.749559,4031.853809
493449502,1,380.8964552,6868.718593,7145.488228,4618.338327
493451036,1,309.1561886,6952.872856,7040.634935,3674.946275
493450721,1,371.5170279,6880.243289,7159.548615,3868.947964
493451562,1,335.8208955,6910.423639,7460.043353,3841.773528
493451840,1,387.7692308,7060.450591,7268.801148,4119.318285
493451548,1,217.4652833,7001.402032,7396.797483,3856.180179
493449924,1,352.9411765,6807.010371,7209.944459,4107.817833
493455132,1,197.7291876,6910.423639,7030.672627,4280.501612
493452903,1,358.9232303,7034.466467,7026.411907,3857.705267
493454266,1,387.7692308,7458.129172,7273.439821,4521.084839
493453526,1,349.8542274,6827.752548,7048.828994,3677.307027
493452832,1,398.3619512,7024.319905,7110.533471,3930.580451
493454136,1,272.7567568,6826.552908,,
493455160,1,545.2416746,7068.74536,7114.196806,4188.593435
493450766,1,510.419802,7787.573824,7026.059406,3999.462511
493451065,1,403.479249,7025.043689,7363.82453,3725.485033
493454295,1,396.4281553,7316.165529,6916.574098,3650.106724
493452860,1,409.5496489,6837.936425,7076.825625,3894.881966
493452136,1,432.8474576,6886.715979,7158.630371,4666.07309
493452211,1,498.3034783,6827.096877,7264.413828,4909.513831
493450203,1,407.0997009,7111.510274,7411.723546,4418.525526
493454595,1,530.1100833,7831.712788,7412.223369,4113.409195
493452078,1,445.4302326,6815.20723,7134.412813,4445.910002
493450824,1,325.7981366,7025.914907,7346.862858,3915.955368
493454454,1,57.19116234,6836.372541,7356.97997,3574.082067
493452687,1,412.6427289,7032.289737,6676.611867,4225.79501
493454034,1,8.962962963,7022.149449,7267.164458,4179.686188
493453888,1,513.9452915,6948.538597,7195.72595,3851.253659
493454639,1,280.3333333,7181.333988,7269.728409,4086.968333
493453583,1,431.2232645,6815.578037,7187.211628,3700.657895
493452745,1,354.679803,6931.697013,7171.507259,4253.721457
