Starting Wi-Fi RTT Ranging...
Label: 10, Timestamp: 2024-11-28 15:11:17.940, AP SSID: MCSLab RTT AP3, BSSID: e4:5e:1b:a0:5e:85, Rssi: -58, Distance: 10591 mm, StdDev: 110 mm, timeStemp: 3546258580, mcOn: true
Label: 10, Timestamp: 2024-11-28 15:11:17.940, AP SSID: MCSLab RTT AP2, BSSID: 24:29:34:e1:ef:d4, Rssi: -70, Distance: 6753 mm, StdDev: 997 mm, timeStemp: 3546258580, mcOn: true
Label: 10, Timestamp: 2024-11-28 15:11:17.940, AP SSID: MCSLab RTT AP3, BSSID: e4:5e:1b:a0:5e:85, Rssi: -58, Distance: 10591 mm, StdDev: 110 mm, timeStemp: 3546258580, mcOn: true
Label: 10, Timestamp: 2024-11-28 15:11:17.940, AP SSID: MCSLab RTT AP1, BSSID: 24:29:34:e2:4c:36, Rssi: -59, Distance: 3559 mm, StdDev: 976 mm, timeStemp: 3546258580, mcOn: true
Label: 10, Timestamp: 2024-11-28 15:11:17.940, AP SSID: MCSLab RTT AP2, BSSID: 24:29:34:e1:ef:d4, Rssi: -70, Distance: 6753 mm, StdDev: 997 mm, timeStemp: 3546258580, mcOn: true
Label: 10, Timestamp: 2024-11-28 15:11:17.940, AP SSID: MCSLab RTT AP3, BSSID: e4:5e:1b:a0:5e:85, Rssi: -58, Distance: 10591 mm, StdDev: 110 mm, timeStemp: 3546258580, mcOn: true
Label: 10, Timestamp: 2024-11-28 15:11:17.940, AP SSID: MCSLab RTT AP1, BSSID: 24:29:34:e2:4c:36, Rssi: -59, Distance: 3559 mm, StdDev: 976 mm, timeStemp: 3546258580, mcOn: true
Label: 10, Timestamp: 2024-11-28 15:11:17.940, AP SSID: MCSLab RTT AP3, BSSID: b0:e4:d5:88:16:86, Rssi: -51, Distance: -699 mm, StdDev: 437 mm, timeStemp: 3546258580, mcOn: true
Label: 10, Timestamp: 2024-11-28 15:11:18.048, AP SSID: MCSLab RTT AP2, BSSID: 24:29:34:e1:ef:d4, Rssi: -70, Distance: 6723 mm, StdDev: 1127 mm, timeStemp: 3546258687, mcOn: true
Label: 10, Timestamp: 2024-11-28 15:11:18.048, AP SSID: MCSLab RTT AP2, BSSID: 24:29:34:e1:ef:d4, Rssi: -70, Distance: 6723 mm, StdDev: 1127 mm, timeStemp: 3546258687, mcOn: true
Label: 10, Timestamp: 2024-11-28 15:11:18.048, AP SSID: MCSLab RTT AP3, BSSID: e4:5e:1b:a0:5e:85, Rssi: -60, Distance: 10195 mm, StdDev: 235 mm, timeStemp: 3546258687, mcOn: true
Label: 10, Timestamp: 2024-11-28 15:11:18.048, AP SSID: MCSLab RTT AP2, BSSID: 24:29:34:e1:ef:d4, Rssi: -70, Distance: 6723 mm, StdDev: 1127 mm, timeStemp: 3546258687, mcOn: true
Label: 10, Timestamp: 2024-11-28 15:11:18.048, AP SSID: MCSLab RTT AP3, BSSID: e4:5e:1b:a0:5e:85, Rssi: -60, Distance: 10195 mm, StdDev: 235 mm, timeStemp: 3546258687, mcOn: true
Label: 10, Timestamp: 2024-11-28 15:11:18.048, AP SSID: MCSLab RTT AP1, BSSID: 24:29:34:e2:4c:36, Rssi: -59, Distance: 4380 mm, StdDev: 856 mm, timeStemp: 3546258687, mcOn: true
Label: 10, Timestamp: 2024-11-28 15:11:18.048, AP SSID: MCSLab RTT AP2, BSSID: 24:29:34:e1:ef:d4, Rssi: -70, Distance: 6723 mm, StdDev: 1127 mm, timeStemp: 3546258687, mcOn: true
Label: 10, Timestamp: 2024-11-28 15:11:18.048, AP SSID: MCSLab RTT AP3, BSSID: e4:5e:1b:a0:5e:85, Rssi: -60, Distance: 10195 mm, StdDev: 235 mm, timeStemp: 3546258687, mcOn: true
Label: 10, Timestamp: 2024-11-28 15:11:18.048, AP SSID: MCSLab RTT AP1, BSSID: 24:29:34:e2:4c:36, Rssi: -59, Distance: 4380 mm, StdDev: 856 mm, timeStemp: 3546258687, mcOn: true
Label: 10, Timestamp: 2024-11-28 15:11:18.048, AP SSID: MCSLab RTT AP3, BSSID: b0:e4:d5:88:16:86, Rssi: -50, Distance: -504 mm, StdDev: 286 mm, timeStemp: 3546258687, mcOn: true
Label: 10, Timestamp: 2024-11-28 15:11:18.144, AP SSID: MCSLab RTT AP2, BSSID: 24:29:34:e1:ef:d4, Rssi: -70, Distance: 6723 mm, StdDev: 819 mm, timeStemp: 3546258784, mcOn: true
Label: 10, Timestamp: 2024-11-28 15:11:18.144, AP SSID: MCSLab RTT AP2, BSSID: 24:29:34:e1:ef:d4, Rssi: -70, Distance: 6723 mm, StdDev: 819 mm, timeStemp: 3546258784, mcOn: true
Label: 10, Timestamp: 2024-11-28 15:11:18.144, AP SSID: MCSLab RTT AP3, BSSID: e4:5e:1b:a0:5e:85, Rssi: -65, Distance: 10356 mm, StdDev: 157 mm, timeStemp: 3546258784, mcOn: true
Label: 10, Timestamp: 2024-11-28 15:11:18.144, AP SSID: MCSLab RTT AP2, BSSID: 24:29:34:e1:ef:d4, Rssi: -70, Distance: 6723 mm, StdDev: 819 mm, timeStemp: 3546258784, mcOn: true
Label: 10, Timestamp: 2024-11-28 15:11:18.144, AP SSID: MCSLab RTT AP3, BSSID: e4:5e:1b:a0:5e:85, Rssi: -65, Distance: 10356 mm, StdDev: 157 mm, timeStemp: 3546258784, mcOn: true
Label: 10, Timestamp: 2024-11-28 15:11:18.144, AP SSID: MCSLab RTT AP1, BSSID: 24:29:34:e2:4c:36, Rssi: -59, Distance: 4526 mm, StdDev: 726 mm, timeStemp: 3546258784, mcOn: true
Label: 10, Timestamp: 2024-11-28 15:11:18.144, AP SSID: MCSLab RTT AP2, BSSID: 24:29:34:e1:ef:d4, Rssi: -70, Distance: 6723 mm, StdDev: 819 mm, timeStemp: 3546258784, mcOn: true
Label: 10, Timestamp: 2024-11-28 15:11:18.144, AP SSID: MCSLab RTT AP3, BSSID: e4:5e:1b:a0:5e:85, Rssi: -65, Distance: 10356 mm, StdDev: 157 mm, timeStemp: 3546258784, mcOn: true
Label: 10, Timestamp: 2024-11-28 15:11:18.144, AP SSID: MCSLab RTT AP1, BSSID: 24:29:34:e2:4c:36, Rssi: -59, Distance: 4526 mm, StdDev: 726 mm, timeStemp: 3546258784, mcOn: true
Label: 10, Timestamp: 2024-11-28 15:11:18.144, AP SSID: MCSLab RTT AP3, BSSID: b0:e4:d5:88:16:86, Rssi: -50, Distance: -543 mm, StdDev: 358 mm, timeStemp: 3546258784, mcOn: true
Label: 10, Timestamp: 2024-11-28 15:11:18.257, AP SSID: MCSLab RTT AP2, BSSID: 24:29:34:e1:ef:d4, Rssi: -69, Distance: 6694 mm, StdDev: 754 mm, timeStemp: 3546258897, mcOn: true
Label: 10, Timestamp: 2024-11-28 15:11:18.257, AP SSID: MCSLab RTT AP2, BSSID: 24:29:34:e1:ef:d4, Rssi: -69, Distance: 6694 mm, StdDev: 754 mm, timeStemp: 3546258897, mcOn: true
Label: 10, Timestamp: 2024-11-28 15:11:18.257, AP SSID: MCSLab RTT AP3, BSSID: e4:5e:1b:a0:5e:85, Rssi: -66, Distance: 10512 mm, StdDev: 158 mm, timeStemp: 3546258897, mcOn: true
Label: 10, Timestamp: 2024-11-28 15:11:18.257, AP SSID: MCSLab RTT AP2, BSSID: 24:29:34:e1:ef:d4, Rssi: -69, Distance: 6694 mm, StdDev: 754 mm, timeStemp: 3546258897, mcOn: true
Label: 10, Timestamp: 2024-11-28 15:11:18.257, AP SSID: MCSLab RTT AP3, BSSID: e4:5e:1b:a0:5e:85, Rssi: -66, Distance: 10512 mm, StdDev: 158 mm, timeStemp: 3546258897, mcOn: true
