Starting Wi-Fi RTT Ranging...
Label: 43, Timestamp: 2024-11-28 15:17:43.645, AP SSID: MCSLab RTT AP3, BSSID: e4:5e:1b:a0:5e:85, Rssi: -53, Distance: 6323 mm, StdDev: 332 mm, timeStemp: 3546644285, mcOn: true
Label: 43, Timestamp: 2024-11-28 15:17:43.645, AP SSID: MCSLab RTT AP2, BSSID: 24:29:34:e1:ef:d4, Rssi: -57, Distance: -414 mm, StdDev: 381 mm, timeStemp: 3546644285, mcOn: true
Label: 43, Timestamp: 2024-11-28 15:17:43.645, AP SSID: MCSLab RTT AP3, BSSID: e4:5e:1b:a0:5e:85, Rssi: -53, Distance: 6323 mm, StdDev: 332 mm, timeStemp: 3546644285, mcOn: true
Label: 43, Timestamp: 2024-11-28 15:17:43.645, AP SSID: MCSLab RTT AP1, BSSID: 24:29:34:e2:4c:36, Rssi: -71, Distance: 4975 mm, StdDev: 363 mm, timeStemp: 3546644285, mcOn: true
Label: 43, Timestamp: 2024-11-28 15:17:43.645, AP SSID: MCSLab RTT AP2, BSSID: 24:29:34:e1:ef:d4, Rssi: -57, Distance: -414 mm, StdDev: 381 mm, timeStemp: 3546644285, mcOn: true
Label: 43, Timestamp: 2024-11-28 15:17:43.645, AP SSID: MCSLab RTT AP3, BSSID: e4:5e:1b:a0:5e:85, Rssi: -53, Distance: 6323 mm, StdDev: 332 mm, timeStemp: 3546644285, mcOn: true
Label: 43, Timestamp: 2024-11-28 15:17:43.645, AP SSID: MCSLab RTT AP1, BSSID: 24:29:34:e2:4c:36, Rssi: -71, Distance: 4975 mm, StdDev: 363 mm, timeStemp: 3546644285, mcOn: true
Label: 43, Timestamp: 2024-11-28 15:17:43.645, AP SSID: MCSLab RTT AP3, BSSID: b0:e4:d5:88:16:86, Rssi: -70, Distance: 2581 mm, StdDev: 577 mm, timeStemp: 3546644285, mcOn: true
Label: 43, Timestamp: 2024-11-28 15:17:43.749, AP SSID: MCSLab RTT AP2, BSSID: 24:29:34:e1:ef:d4, Rssi: -59, Distance: -375 mm, StdDev: 546 mm, timeStemp: 3546644387, mcOn: true
Label: 43, Timestamp: 2024-11-28 15:17:43.749, AP SSID: MCSLab RTT AP2, BSSID: 24:29:34:e1:ef:d4, Rssi: -59, Distance: -375 mm, StdDev: 546 mm, timeStemp: 3546644387, mcOn: true
Label: 43, Timestamp: 2024-11-28 15:17:43.749, AP SSID: MCSLab RTT AP3, BSSID: e4:5e:1b:a0:5e:85, Rssi: -54, Distance: 6333 mm, StdDev: 725 mm, timeStemp: 3546644387, mcOn: true
Label: 43, Timestamp: 2024-11-28 15:17:43.749, AP SSID: MCSLab RTT AP2, BSSID: 24:29:34:e1:ef:d4, Rssi: -59, Distance: -375 mm, StdDev: 546 mm, timeStemp: 3546644387, mcOn: true
Label: 43, Timestamp: 2024-11-28 15:17:43.749, AP SSID: MCSLab RTT AP3, BSSID: e4:5e:1b:a0:5e:85, Rssi: -54, Distance: 6333 mm, StdDev: 725 mm, timeStemp: 3546644387, mcOn: true
Label: 43, Timestamp: 2024-11-28 15:17:43.749, AP SSID: MCSLab RTT AP1, BSSID: 24:29:34:e2:4c:36, Rssi: -68, Distance: 5171 mm, StdDev: 2117 mm, timeStemp: 3546644387, mcOn: true
Label: 43, Timestamp: 2024-11-28 15:17:43.749, AP SSID: MCSLab RTT AP2, BSSID: 24:29:34:e1:ef:d4, Rssi: -59, Distance: -375 mm, StdDev: 546 mm, timeStemp: 3546644387, mcOn: true
Label: 43, Timestamp: 2024-11-28 15:17:43.749, AP SSID: MCSLab RTT AP3, BSSID: e4:5e:1b:a0:5e:85, Rssi: -54, Distance: 6333 mm, StdDev: 725 mm, timeStemp: 3546644387, mcOn: true
Label: 43, Timestamp: 2024-11-28 15:17:43.749, AP SSID: MCSLab RTT AP1, BSSID: 24:29:34:e2:4c:36, Rssi: -68, Distance: 5171 mm, StdDev: 2117 mm, timeStemp: 3546644387, mcOn: true
Label: 43, Timestamp: 2024-11-28 15:17:43.749, AP SSID: MCSLab RTT AP3, BSSID: b0:e4:d5:88:16:86, Rssi: -69, Distance: 3812 mm, StdDev: 2056 mm, timeStemp: 3546644387, mcOn: true
Label: 43, Timestamp: 2024-11-28 15:17:43.851, AP SSID: MCSLab RTT AP2, BSSID: 24:29:34:e1:ef:d4, Rssi: -58, Distance: 14 mm, StdDev: 229 mm, timeStemp: 3546644490, mcOn: true
Label: 43, Timestamp: 2024-11-28 15:17:43.851, AP SSID: MCSLab RTT AP2, BSSID: 24:29:34:e1:ef:d4, Rssi: -58, Distance: 14 mm, StdDev: 229 mm, timeStemp: 3546644490, mcOn: true
