Starting Wi-Fi RTT Ranging...
Label: 38, Timestamp: 2024-12-14 17:56:49.090, AP SSID: MCSLab RTT AP1, BSSID: 24:29:34:e2:4c:36, Rssi: -70, Distance: 4468 mm, StdDev: 111 mm, timeStemp: 4938589724, mcOn: true
Label: 38, Timestamp: 2024-12-14 17:56:49.090, AP SSID: MCSLab RTT AP3, BSSID: b0:e4:d5:88:16:86, Rssi: -58, Distance: 4738 mm, StdDev: 581 mm, timeStemp: 4938589724, mcOn: true
Label: 38, Timestamp: 2024-12-14 17:56:49.242, AP SSID: MCSLab RTT AP2, BSSID: 24:29:34:e1:ef:d4, Rssi: -67, Distance: 3706 mm, StdDev: 576 mm, timeStemp: 4938589876, mcOn: true
Label: 38, Timestamp: 2024-12-14 17:56:49.242, AP SSID: MCSLab RTT AP2, BSSID: 24:29:34:e1:ef:d4, Rssi: -67, Distance: 3706 mm, StdDev: 576 mm, timeStemp: 4938589876, mcOn: true
Label: 38, Timestamp: 2024-12-14 17:56:49.242, AP SSID: MCSLab RTT AP3, BSSID: e4:5e:1b:a0:5e:85, Rssi: -57, Distance: 3525 mm, StdDev: 1035 mm, timeStemp: 4938589876, mcOn: true
Label: 38, Timestamp: 2024-12-14 17:56:49.242, AP SSID: MCSLab RTT AP2, BSSID: 24:29:34:e1:ef:d4, Rssi: -67, Distance: 3706 mm, StdDev: 576 mm, timeStemp: 4938589876, mcOn: true
Label: 38, Timestamp: 2024-12-14 17:56:49.242, AP SSID: MCSLab RTT AP3, BSSID: e4:5e:1b:a0:5e:85, Rssi: -57, Distance: 3525 mm, StdDev: 1035 mm, timeStemp: 4938589876, mcOn: true
Label: 38, Timestamp: 2024-12-14 17:56:49.242, AP SSID: MCSLab RTT AP1, BSSID: 24:29:34:e2:4c:36, Rssi: -70, Distance: 4526 mm, StdDev: 107 mm, timeStemp: 4938589876, mcOn: true
Label: 38, Timestamp: 2024-12-14 17:56:49.242, AP SSID: MCSLab RTT AP2, BSSID: 24:29:34:e1:ef:d4, Rssi: -67, Distance: 3706 mm, StdDev: 576 mm, timeStemp: 4938589876, mcOn: true
Label: 38, Timestamp: 2024-12-14 17:56:49.242, AP SSID: MCSLab RTT AP3, BSSID: e4:5e:1b:a0:5e:85, Rssi: -57, Distance: 3525 mm, StdDev: 1035 mm, timeStemp: 4938589876, mcOn: true
Label: 38, Timestamp: 2024-12-14 17:56:49.242, AP SSID: MCSLab RTT AP1, BSSID: 24:29:34:e2:4c:36, Rssi: -70, Distance: 4526 mm, StdDev: 107 mm, timeStemp: 4938589876, mcOn: true
Label: 38, Timestamp: 2024-12-14 17:56:49.242, AP SSID: MCSLab RTT AP3, BSSID: b0:e4:d5:88:16:86, Rssi: -61, Distance: 4188 mm, StdDev: 475 mm, timeStemp: 4938589875, mcOn: true
Label: 38, Timestamp: 2024-12-14 17:56:49.390, AP SSID: MCSLab RTT AP2, BSSID: 24:29:34:e1:ef:d4, Rssi: -68, Distance: 3999 mm, StdDev: 416 mm, timeStemp: 4938590024, mcOn: true
Label: 38, Timestamp: 2024-12-14 17:56:49.390, AP SSID: MCSLab RTT AP2, BSSID: 24:29:34:e1:ef:d4, Rssi: -68, Distance: 3999 mm, StdDev: 416 mm, timeStemp: 4938590024, mcOn: true
Label: 38, Timestamp: 2024-12-14 17:56:49.390, AP SSID: MCSLab RTT AP3, BSSID: e4:5e:1b:a0:5e:85, Rssi: -58, Distance: 3379 mm, StdDev: 1247 mm, timeStemp: 4938590024, mcOn: true
Label: 38, Timestamp: 2024-12-14 17:56:49.390, AP SSID: MCSLab RTT AP2, BSSID: 24:29:34:e1:ef:d4, Rssi: -68, Distance: 3999 mm, StdDev: 416 mm, timeStemp: 4938590024, mcOn: true
Label: 38, Timestamp: 2024-12-14 17:56:49.390, AP SSID: MCSLab RTT AP3, BSSID: e4:5e:1b:a0:5e:85, Rssi: -58, Distance: 3379 mm, StdDev: 1247 mm, timeStemp: 4938590024, mcOn: true
Label: 38, Timestamp: 2024-12-14 17:56:49.390, AP SSID: MCSLab RTT AP1, BSSID: 24:29:34:e2:4c:36, Rssi: -70, Distance: 4555 mm, StdDev: 123 mm, timeStemp: 4938590024, mcOn: true
Label: 38, Timestamp: 2024-12-14 17:56:49.390, AP SSID: MCSLab RTT AP2, BSSID: 24:29:34:e1:ef:d4, Rssi: -68, Distance: 3999 mm, StdDev: 416 mm, timeStemp: 4938590024, mcOn: true
Label: 38, Timestamp: 2024-12-14 17:56:49.390, AP SSID: MCSLab RTT AP3, BSSID: e4:5e:1b:a0:5e:85, Rssi: -58, Distance: 3379 mm, StdDev: 1247 mm, timeStemp: 4938590024, mcOn: true
Label: 38, Timestamp: 2024-12-14 17:56:49.390, AP SSID: MCSLab RTT AP1, BSSID: 24:29:34:e2:4c:36, Rssi: -70, Distance: 4555 mm, StdDev: 123 mm, timeStemp: 4938590024, mcOn: true
Label: 38, Timestamp: 2024-12-14 17:56:49.390, AP SSID: MCSLab RTT AP3, BSSID: b0:e4:d5:88:16:86, Rssi: -61, Distance: 4227 mm, StdDev: 441 mm, timeStemp: 4938590024, mcOn: true
Label: 38, Timestamp: 2024-12-14 17:56:49.534, AP SSID: MCSLab RTT AP2, BSSID: 24:29:34:e1:ef:d4, Rssi: -69, Distance: 3970 mm, StdDev: 272 mm, timeStemp: 4938590170, mcOn: true
Label: 38, Timestamp: 2024-12-14 17:56:49.534, AP SSID: MCSLab RTT AP2, BSSID: 24:29:34:e1:ef:d4, Rssi: -69, Distance: 3970 mm, StdDev: 272 mm, timeStemp: 4938590170, mcOn: true
Label: 38, Timestamp: 2024-12-14 17:56:49.534, AP SSID: MCSLab RTT AP3, BSSID: e4:5e:1b:a0:5e:85, Rssi: -56, Distance: 3408 mm, StdDev: 1260 mm, timeStemp: 4938590170, mcOn: true
Label: 38, Timestamp: 2024-12-14 17:56:49.534, AP SSID: MCSLab RTT AP2, BSSID: 24:29:34:e1:ef:d4, Rssi: -69, Distance: 3970 mm, StdDev: 272 mm, timeStemp: 4938590170, mcOn: true
Label: 38, Timestamp: 2024-12-14 17:56:49.534, AP SSID: MCSLab RTT AP3, BSSID: e4:5e:1b:a0:5e:85, Rssi: -56, Distance: 3408 mm, StdDev: 1260 mm, timeStemp: 4938590170, mcOn: true
Label: 38, Timestamp: 2024-12-14 17:56:49.534, AP SSID: MCSLab RTT AP1, BSSID: 24:29:34:e2:4c:36, Rssi: -70, Distance: 4428 mm, StdDev: 178 mm, timeStemp: 4938590170, mcOn: true
Label: 38, Timestamp: 2024-12-14 17:56:49.534, AP SSID: MCSLab RTT AP2, BSSID: 24:29:34:e1:ef:d4, Rssi: -69, Distance: 3970 mm, StdDev: 272 mm, timeStemp: 4938590170, mcOn: true
Label: 38, Timestamp: 2024-12-14 17:56:49.534, AP SSID: MCSLab RTT AP3, BSSID: e4:5e:1b:a0:5e:85, Rssi: -56, Distance: 3408 mm, StdDev: 1260 mm, timeStemp: 4938590170, mcOn: true
Label: 38, Timestamp: 2024-12-14 17:56:49.534, AP SSID: MCSLab RTT AP1, BSSID: 24:29:34:e2:4c:36, Rssi: -70, Distance: 4428 mm, StdDev: 178 mm, timeStemp: 4938590170, mcOn: true
Label: 38, Timestamp: 2024-12-14 17:56:49.534, AP SSID: MCSLab RTT AP3, BSSID: b0:e4:d5:88:16:86, Rssi: -60, Distance: 4149 mm, StdDev: 435 mm, timeStemp: 4938590170, mcOn: true
Label: 38, Timestamp: 2024-12-14 17:56:49.683, AP SSID: MCSLab RTT AP2, BSSID: 24:29:34:e1:ef:d4, Rssi: -69, Distance: 3794 mm, StdDev: 353 mm, timeStemp: 4938590318, mcOn: true
Label: 38, Timestamp: 2024-12-14 17:56:49.683, AP SSID: MCSLab RTT AP2, BSSID: 24:29:34:e1:ef:d4, Rssi: -69, Distance: 3794 mm, StdDev: 353 mm, timeStemp: 4938590318, mcOn: true
Label: 38, Timestamp: 2024-12-14 17:56:49.683, AP SSID: MCSLab RTT AP3, BSSID: e4:5e:1b:a0:5e:85, Rssi: -57, Distance: 3408 mm, StdDev: 1025 mm, timeStemp: 4938590317, mcOn: true
Label: 38, Timestamp: 2024-12-14 17:56:49.683, AP SSID: MCSLab RTT AP2, BSSID: 24:29:34:e1:ef:d4, Rssi: -69, Distance: 3794 mm, StdDev: 353 mm, timeStemp: 4938590318, mcOn: true
Label: 38, Timestamp: 2024-12-14 17:56:49.683, AP SSID: MCSLab RTT AP3, BSSID: e4:5e:1b:a0:5e:85, Rssi: -57, Distance: 3408 mm, StdDev: 1025 mm, timeStemp: 4938590317, mcOn: true
Label: 38, Timestamp: 2024-12-14 17:56:49.683, AP SSID: MCSLab RTT AP1, BSSID: 24:29:34:e2:4c:36, Rssi: -70, Distance: 4624 mm, StdDev: 126 mm, timeStemp: 4938590317, mcOn: true
Label: 38, Timestamp: 2024-12-14 17:56:49.683, AP SSID: MCSLab RTT AP2, BSSID: 24:29:34:e1:ef:d4, Rssi: -69, Distance: 3794 mm, StdDev: 353 mm, timeStemp: 4938590318, mcOn: true
Label: 38, Timestamp: 2024-12-14 17:56:49.683, AP SSID: MCSLab RTT AP3, BSSID: e4:5e:1b:a0:5e:85, Rssi: -57, Distance: 3408 mm, StdDev: 1025 mm, timeStemp: 4938590317, mcOn: true
Label: 38, Timestamp: 2024-12-14 17:56:49.683, AP SSID: MCSLab RTT AP1, BSSID: 24:29:34:e2:4c:36, Rssi: -70, Distance: 4624 mm, StdDev: 126 mm, timeStemp: 4938590317, mcOn: true
