Label,X Position (meters),Y Position (meters),AP1_Distance (mm),AP2_Distance (mm),AP3_Distance (mm),AP4_Distance (mm),AP5_Distance (mm),AP6_Distance (mm),AP7_Distance (mm),AP8_Distance (mm),AP1_Rssi,AP2_Rssi,AP3_Rssi,AP4_Rssi,AP5_Rssi,AP6_Rssi,AP7_Rssi,AP8_Rssi
0,-0.41,15.69,46225.95,20304.45,46433.25,42080.55,49535.55,42673.2,32479.5,47840.55,-67,-36,-69,-71,-76,-61,-55,-72
0,-0.41,15.69,46046.55,20355.75,47100,41901.15,50713.65,44087.55,30731.25,47866.2,-67,-36,-70,-70,-76,-62,-54,-72
0,-0.41,15.69,46045.95,20355.9,47101.8,41900.7,50716.8,44091.45,30665.1,47866.2,-67,-36,-70,-70,-76,-62,-54,-72
0,-0.41,15.69,46045.5,20356.05,47103.6,41900.1,50719.95,44095.2,30496.95,47866.35,-67,-36,-70,-70,-76,-62,-54,-72
0,-0.41,15.69,46045.05,20356.2,47105.4,41899.65,50723.25,44099.1,30496.8,47866.35,-67,-36,-70,-70,-76,-62,-54,-72
0,-0.41,15.69,46044.45,20356.35,47107.2,41899.2,50726.4,44102.85,30496.8,47866.5,-67,-36,-70,-70,-76,-62,-55,-72
0,-0.41,15.69,46042.65,20356.95,47114.4,41897.25,50739.15,44118.3,31903.05,47866.8,-67,-36,-70,-70,-76,-62,-54,-72
0,-0.41,15.69,46042.2,20357.1,47116.2,41896.8,50742.45,44122.05,31868.55,47866.8,-67,-36,-70,-70,-76,-62,-54,-72
0,-0.41,15.69,46041.75,20357.25,47118,41896.35,50745.6,44125.95,30477,47866.95,-67,-36,-70,-70,-76,-62,-54,-72
0,-0.41,15.69,46041.15,20357.4,47119.8,41895.9,50748.75,44129.7,29911.65,47866.95,-67,-36,-70,-70,-76,-62,-54,-72
0,-0.41,15.69,46040.7,20357.55,47121.6,41895.3,50751.9,44133.6,29962.65,47867.1,-67,-36,-70,-70,-76,-62,-54,-72
0,-0.41,15.69,46040.25,20357.7,47123.4,41894.85,50755.05,44137.35,30028.05,47867.1,-67,-36,-70,-70,-76,-62,-54,-72
0,-0.41,15.69,46039.2,20357.85,47127,41893.95,50761.5,44145.15,31987.95,47867.25,-67,-36,-70,-70,-76,-62,-54,-72
0,-0.41,15.69,46038.75,20358,47128.8,41893.35,50764.8,44148.9,31833.3,47867.25,-67,-36,-70,-70,-76,-62,-54,-72
0,-0.41,15.69,46038.15,20358.15,47130.6,41892.9,50767.95,44152.65,30915.6,47867.4,-67,-36,-70,-70,-76,-62,-54,-72
0,-0.41,15.69,46037.85,20358.3,47132.55,41892.45,50771.1,44156.55,30736.05,47867.4,-67,-36,-70,-70,-76,-62,-54,-72
0,-0.41,15.69,46034.7,20359.2,47143.35,41889.45,50790.3,44179.5,30961.5,47867.85,-67,-36,-70,-70,-76,-62,-54,-72
0,-0.41,15.69,46033.95,20359.5,47146.8,41888.55,50796.6,44187.15,32014.95,47868,-67,-36,-70,-70,-76,-62,-54,-72
0,-0.41,15.69,46033.35,20359.65,47148.75,41887.95,50799.75,44191.05,30859.95,47868.15,-67,-36,-70,-70,-76,-62,-55,-72
0,-0.41,15.69,46032.9,20359.8,47150.55,41887.5,50803.05,44194.8,30262.5,47868.15,-67,-36,-70,-70,-76,-62,-55,-72
0,-0.41,15.69,46031.85,20359.95,47154.15,41886.6,50809.5,44202.6,30262.5,47868.3,-67,-36,-70,-70,-76,-62,-54,-72
0,-0.41,15.69,46031.4,20360.1,47155.95,41886.15,50812.65,44206.5,30308.4,47868.3,-67,-36,-70,-70,-76,-62,-54,-72
0,-0.41,15.69,46029.9,20360.55,47161.35,41884.65,50822.25,44217.9,30712.35,47868.6,-67,-36,-70,-70,-76,-62,-55,-72
0,-0.41,15.69,46029,20360.7,47164.95,41883.6,50828.55,44225.55,30611.1,47868.75,-67,-36,-70,-70,-76,-62,-54,-72
0,-0.41,15.69,46028.55,20360.85,47166.75,41883.3,50831.85,44229.3,31706.7,47868.75,-67,-36,-70,-70,-76,-62,-54,-72
0,-0.41,15.69,46028.1,20361,47168.55,41882.7,50834.85,44233.35,30262.5,47868.9,-67,-36,-70,-70,-76,-62,-55,-72
0,-0.41,15.69,46027.5,20361.15,47170.35,41882.25,50838.15,44237.1,30262.5,47868.9,-67,-36,-70,-70,-76,-62,-54,-72
0,-0.41,15.69,46026.9,20361.3,47172.15,41881.65,50841.3,44241,30262.5,47869.05,-67,-36,-70,-70,-76,-62,-55,-72
0,-0.41,15.69,46026.6,20361.45,47173.95,41881.2,50844.6,44244.75,30444.75,47869.05,-67,-36,-70,-70,-76,-62,-55,-72
0,-0.41,15.69,46026.15,20361.6,47175.9,41880.75,50847.75,44248.5,30496.95,47869.2,-67,-36,-70,-70,-76,-62,-55,-72
0,-0.41,15.69,46024.65,20362.05,47181.15,41879.4,50857.35,44260.05,29878.95,47869.35,-67,-36,-70,-70,-76,-62,-54,-72
0,-0.41,15.69,46024.2,20362.2,47182.95,41878.8,50860.5,44263.95,30028.05,47869.35,-67,-36,-70,-70,-76,-62,-54,-72
0,-0.41,15.69,46023.6,20362.35,47184.9,41878.35,50863.65,44267.7,30028.05,47869.5,-67,-36,-70,-70,-76,-62,-54,-72
0,-0.41,15.69,46023.15,20362.5,47186.7,41877.9,50866.95,44271.6,30055.2,47869.5,-67,-36,-70,-70,-76,-62,-54,-72
0,-0.41,15.69,46022.55,20362.65,47188.5,41877.3,50870.1,44275.35,30241.2,47869.65,-67,-36,-70,-70,-76,-62,-54,-72
0,-0.41,15.69,46021.65,20362.8,47192.1,41876.4,50876.4,44283,30744.6,47869.8,-67,-36,-70,-70,-76,-62,-54,-72
0,-0.41,15.69,46021.2,20362.95,47193.9,41875.8,50879.7,44286.9,31597.05,47869.8,-67,-36,-70,-70,-76,-62,-54,-72
0,-0.41,15.69,46020.75,20363.1,47195.7,41875.5,50882.85,44290.8,30222.9,47869.95,-67,-36,-70,-70,-76,-62,-54,-72
0,-0.41,15.69,46020.15,20363.25,47197.5,41874.9,50886,44294.55,29590.95,47869.95,-67,-36,-70,-70,-76,-62,-54,-72
0,-0.41,15.69,46019.7,20363.4,47199.3,41874.45,50889.15,44298.3,29363.1,47870.1,-67,-36,-70,-70,-76,-62,-54,-72
0,-0.41,15.69,46019.25,20363.55,47201.1,41874,50892.45,44302.2,29497.5,47870.1,-67,-36,-70,-70,-76,-62,-54,-72
0,-0.41,15.69,46018.8,20363.7,47202.9,41873.55,50895.6,44306.1,30902.4,47870.25,-67,-36,-70,-70,-76,-62,-54,-72
0,-0.41,15.69,46018.35,20363.85,47204.7,41873.1,50898.9,44309.85,30265.95,47870.25,-67,-36,-70,-70,-76,-62,-54,-72
0,-0.41,15.69,46017.3,20364,47208.3,41872.05,50905.2,44317.5,31527.3,47870.4,-67,-36,-70,-70,-76,-62,-54,-72
0,-0.41,15.69,46016.85,20364.15,47210.25,41871.6,50908.35,44321.4,30929.4,47870.4,-67,-36,-70,-70,-76,-62,-54,-72
0,-0.41,15.69,46016.25,20364.3,47211.9,41871,50911.65,44325.15,29502,47870.55,-67,-36,-70,-70,-76,-62,-54,-72
0,-0.41,15.69,46015.95,20364.45,47213.85,41870.55,50914.8,44329.05,29481.15,47870.55,-67,-36,-70,-70,-76,-62,-54,-72
0,-0.41,15.69,46015.35,20364.6,47215.5,41869.95,50917.95,44332.95,30542.25,47870.7,-67,-36,-70,-70,-76,-62,-54,-72
0,-0.41,15.69,46014.45,20364.9,47219.1,41869.05,50924.4,44340.45,29925.45,47870.7,-67,-36,-70,-70,-76,-62,-54,-72
0,-0.41,15.69,46013.85,20365.05,47221.05,41868.6,50927.55,44344.35,30864,47870.85,-67,-36,-70,-70,-76,-62,-54,-72
0,-0.41,15.69,46013.55,20365.2,47222.85,41868.15,50930.7,44348.1,29559.45,47871,-67,-36,-70,-70,-76,-62,-54,-72
0,-0.41,15.69,46012.95,20365.35,47224.5,41867.55,50934,44352,29559.45,47871,-67,-36,-70,-70,-76,-62,-54,-72
0,-0.41,15.69,46012.5,20365.5,47226.45,41867.1,50937.15,44355.9,31137.6,47871.15,-67,-36,-70,-70,-76,-62,-54,-72
0,-0.41,15.69,45837.75,20415.45,47875.05,41692.5,52083.3,46140.9,31334.4,47896.05,-67,-36,-71,-70,-76,-63,-54,-72
0,-0.41,15.69,45837.3,20415.6,47876.85,41692.2,52086.45,48068.1,31334.1,47896.05,-67,-36,-71,-70,-76,-64,-54,-72
0,-0.41,15.69,45836.85,20415.75,47878.65,41691.6,52089.75,47613.45,31333.8,47896.2,-67,-36,-71,-70,-76,-64,-54,-72
0,-0.41,15.69,45836.4,20415.9,47880.45,41691.15,52092.75,46207.65,31333.5,47896.2,-67,-36,-71,-70,-76,-64,-54,-72
0,-0.41,15.69,45835.95,20416.05,47882.25,41690.7,52095.9,47501.4,31333.35,47896.35,-67,-36,-71,-70,-76,-64,-54,-72
0,-0.41,15.69,45834.9,20416.2,47885.85,41689.65,52102.35,46199.55,31332.75,47896.5,-67,-36,-71,-70,-76,-64,-54,-72
0,-0.41,15.69,45812.55,20422.65,47968.95,41667.45,52249.35,45966.6,31319.85,47899.65,-67,-37,-71,-69,-77,-64,-54,-72
0,-0.41,15.69,45810.6,20423.25,47976.15,41665.5,52262.1,47634.45,31318.8,47899.95,-67,-37,-71,-69,-77,-64,-54,-72
0,-0.41,15.69,45809.55,20423.4,47979.75,41664.45,52268.4,45821.55,31318.2,47900.1,-67,-37,-71,-69,-77,-64,-54,-72
0,-0.41,15.69,45809.1,20423.55,47981.7,41664,52271.55,45965.55,31317.9,47900.1,-67,-37,-71,-69,-77,-64,-54,-72
0,-0.41,15.69,45808.65,20423.7,47983.5,41663.4,52274.7,45965.55,31317.6,47900.25,-67,-37,-71,-69,-77,-64,-54,-72
0,-0.41,15.69,45808.2,20423.85,47985.15,41662.95,52278,45952.5,31317.3,47900.25,-67,-37,-71,-69,-77,-64,-54,-72
0,-0.41,15.69,45807.6,20424,47987.1,41662.35,52281.15,45535.2,31317,47900.4,-67,-37,-71,-69,-77,-63,-54,-72
0,-0.41,15.69,45806.25,20424.45,47992.5,41661,52290.75,46237.05,31316.1,47900.55,-67,-37,-71,-69,-77,-63,-54,-72
0,-0.41,15.69,45805.8,20424.6,47994.15,41660.55,52293.9,47595.3,31315.95,47900.55,-67,-37,-71,-69,-77,-64,-54,-72
0,-0.41,15.69,45804.75,20424.9,47997.9,41659.65,52300.35,47394.75,31315.35,47900.85,-67,-37,-71,-69,-77,-64,-54,-72
0,-0.41,15.69,45627.3,20475.6,48657.3,41482.05,53480.55,46941,31213.5,47926.2,-67,-37,-71,-69,-77,-64,-54,-72
0,-0.41,15.69,45626.7,20475.75,48659.1,41481.6,54082.5,46939.8,31213.2,47926.2,-67,-37,-71,-69,-77,-64,-54,-72
0,-0.41,15.69,45626.25,20475.9,48660.9,41481.15,53163.6,46938.6,31213.05,47926.35,-67,-37,-72,-69,-77,-64,-54,-72
0,-0.41,15.69,45625.8,20476.05,48662.7,41480.7,53325.3,46937.4,31212.75,47926.35,-67,-37,-72,-69,-78,-64,-54,-72
0,-0.41,15.69,45624.75,20476.35,48666.45,41479.65,55326.9,46935,31212.15,47926.5,-67,-37,-72,-69,-77,-64,-54,-72
0,-0.41,15.69,45624.3,20476.5,48668.1,41479.05,54517.5,46933.8,31211.85,47926.65,-67,-37,-72,-69,-78,-64,-54,-72
0,-0.41,15.69,45623.85,20476.65,48670.05,41478.75,54234.3,46932.75,31211.7,47926.65,-67,-37,-72,-69,-78,-64,-54,-72
