Starting Wi-Fi RTT Ranging...
Label: demo nonmc, Timestamp: 2024-11-10 13:38:03.068, AP SSID: MCSLAB_5G, BSSID: 50:64:2b:9c:86:f2, Rssi: -67, Distance: 63247 mm, StdDev: 18442 mm, timeStemp: 1985459542, mcOn: false
Label: demo nonmc, Timestamp: 2024-11-10 13:38:03.068, AP SSID: MCSLab_Wi-Fi_RTT_1, BSSID: d8:6c:63:dc:96:53, Rssi: -71, Distance: 7131 mm, StdDev: 466 mm, timeStemp: 1985459542, mcOn: true
Label: demo nonmc, Timestamp: 2024-11-10 13:38:03.180, AP SSID: MCSLAB_5G, BSSID: 50:64:2b:9c:86:f2, Rssi: -66, Distance: 64653 mm, StdDev: 3949 mm, timeStemp: 1985459654, mcOn: false
Label: demo nonmc, Timestamp: 2024-11-10 13:38:03.180, AP SSID: MCSLAB_5G, BSSID: 50:64:2b:9c:86:f2, Rssi: -66, Distance: 64653 mm, StdDev: 3949 mm, timeStemp: 1985459654, mcOn: false
Label: demo nonmc, Timestamp: 2024-11-10 13:38:03.180, AP SSID: MCSLab_Wi-Fi_RTT_1, BSSID: d8:6c:63:dc:96:53, Rssi: -70, Distance: 8123 mm, StdDev: 843 mm, timeStemp: 1985459654, mcOn: true
Label: demo nonmc, Timestamp: 2024-11-10 13:38:03.321, AP SSID: MCSLAB_5G, BSSID: 50:64:2b:9c:86:f2, Rssi: -62, Distance: 65122 mm, StdDev: 9697 mm, timeStemp: 1985459784, mcOn: false
Label: demo nonmc, Timestamp: 2024-11-10 13:38:03.321, AP SSID: MCSLAB_5G, BSSID: 50:64:2b:9c:86:f2, Rssi: -62, Distance: 65122 mm, StdDev: 9697 mm, timeStemp: 1985459784, mcOn: false
Label: demo nonmc, Timestamp: 2024-11-10 13:38:03.321, AP SSID: MCSLab_Wi-Fi_RTT_1, BSSID: d8:6c:63:dc:96:53, Rssi: -68, Distance: 7690 mm, StdDev: 372 mm, timeStemp: 1985459784, mcOn: true
Label: demo nonmc, Timestamp: 2024-11-10 13:38:03.423, AP SSID: MCSLAB_5G, BSSID: 50:64:2b:9c:86:f2, Rssi: -64, Distance: 66528 mm, StdDev: 11395 mm, timeStemp: 1985459897, mcOn: false
Label: demo nonmc, Timestamp: 2024-11-10 13:38:03.423, AP SSID: MCSLAB_5G, BSSID: 50:64:2b:9c:86:f2, Rssi: -64, Distance: 66528 mm, StdDev: 11395 mm, timeStemp: 1985459897, mcOn: false
Label: demo nonmc, Timestamp: 2024-11-10 13:38:03.423, AP SSID: MCSLab_Wi-Fi_RTT_1, BSSID: d8:6c:63:dc:96:53, Rssi: -67, Distance: 7306 mm, StdDev: 103 mm, timeStemp: 1985459897, mcOn: true
Label: demo nonmc, Timestamp: 2024-11-10 13:38:03.532, AP SSID: MCSLAB_5G, BSSID: 50:64:2b:9c:86:f2, Rssi: -64, Distance: 67466 mm, StdDev: 9268 mm, timeStemp: 1985460005, mcOn: false
Label: demo nonmc, Timestamp: 2024-11-10 13:38:03.532, AP SSID: MCSLAB_5G, BSSID: 50:64:2b:9c:86:f2, Rssi: -64, Distance: 67466 mm, StdDev: 9268 mm, timeStemp: 1985460005, mcOn: false
Label: demo nonmc, Timestamp: 2024-11-10 13:38:03.532, AP SSID: MCSLab_Wi-Fi_RTT_1, BSSID: d8:6c:63:dc:96:53, Rssi: -69, Distance: 7568 mm, StdDev: 179 mm, timeStemp: 1985460005, mcOn: true
Label: demo nonmc, Timestamp: 2024-11-10 13:38:03.655, AP SSID: MCSLAB_5G, BSSID: 50:64:2b:9c:86:f2, Rssi: -62, Distance: 65122 mm, StdDev: 7201 mm, timeStemp: 1985460128, mcOn: false
Label: demo nonmc, Timestamp: 2024-11-10 13:38:03.655, AP SSID: MCSLAB_5G, BSSID: 50:64:2b:9c:86:f2, Rssi: -62, Distance: 65122 mm, StdDev: 7201 mm, timeStemp: 1985460128, mcOn: false
Label: demo nonmc, Timestamp: 2024-11-10 13:38:03.655, AP SSID: MCSLab_Wi-Fi_RTT_1, BSSID: d8:6c:63:dc:96:53, Rssi: -70, Distance: 7796 mm, StdDev: 520 mm, timeStemp: 1985460128, mcOn: true
Label: demo nonmc, Timestamp: 2024-11-10 13:38:03.787, AP SSID: MCSLAB_5G, BSSID: 50:64:2b:9c:86:f2, Rssi: -60, Distance: 67935 mm, StdDev: 13125 mm, timeStemp: 1985460243, mcOn: false
Label: demo nonmc, Timestamp: 2024-11-10 13:38:03.787, AP SSID: MCSLAB_5G, BSSID: 50:64:2b:9c:86:f2, Rssi: -60, Distance: 67935 mm, StdDev: 13125 mm, timeStemp: 1985460243, mcOn: false
Label: demo nonmc, Timestamp: 2024-11-10 13:38:03.787, AP SSID: MCSLab_Wi-Fi_RTT_1, BSSID: d8:6c:63:dc:96:53, Rssi: -69, Distance: 8378 mm, StdDev: 1378 mm, timeStemp: 1985460243, mcOn: true
Timestamp: 2024-11-10 13:38:03.905, Ranging failed for one or more APs
Label: demo nonmc, Timestamp: 2024-11-10 13:38:03.905, AP SSID: MCSLab_Wi-Fi_RTT_1, BSSID: d8:6c:63:dc:96:53, Rssi: -69, Distance: 9253 mm, StdDev: 159 mm, timeStemp: 1985460370, mcOn: true
Label: demo nonmc, Timestamp: 2024-11-10 13:38:04.023, AP SSID: MCSLAB_5G, BSSID: 50:64:2b:9c:86:f2, Rssi: -60, Distance: 66997 mm, StdDev: 9327 mm, timeStemp: 1985460496, mcOn: false
Timestamp: 2024-11-10 13:38:04.156, Ranging failed for one or more APs
Label: demo nonmc, Timestamp: 2024-11-10 13:38:04.156, AP SSID: MCSLab_Wi-Fi_RTT_1, BSSID: d8:6c:63:dc:96:53, Rssi: -72, Distance: 8177 mm, StdDev: 1254 mm, timeStemp: 1985460626, mcOn: true
Label: demo nonmc, Timestamp: 2024-11-10 13:38:04.276, AP SSID: MCSLAB_5G, BSSID: 50:64:2b:9c:86:f2, Rssi: -64, Distance: 66997 mm, StdDev: 11366 mm, timeStemp: 1985460747, mcOn: false
Label: demo nonmc, Timestamp: 2024-11-10 13:38:04.396, AP SSID: MCSLAB_5G, BSSID: 50:64:2b:9c:86:f2, Rssi: -65, Distance: 68403 mm, StdDev: 9268 mm, timeStemp: 1985460867, mcOn: false
Label: demo nonmc, Timestamp: 2024-11-10 13:38:04.396, AP SSID: MCSLAB_5G, BSSID: 50:64:2b:9c:86:f2, Rssi: -65, Distance: 68403 mm, StdDev: 9268 mm, timeStemp: 1985460867, mcOn: false
Label: demo nonmc, Timestamp: 2024-11-10 13:38:04.396, AP SSID: MCSLab_Wi-Fi_RTT_1, BSSID: d8:6c:63:dc:96:53, Rssi: -74, Distance: 7837 mm, StdDev: 1225 mm, timeStemp: 1985460867, mcOn: true
Label: demo nonmc, Timestamp: 2024-11-10 13:38:04.524, AP SSID: MCSLAB_5G, BSSID: 50:64:2b:9c:86:f2, Rssi: -63, Distance: 62310 mm, StdDev: 12854 mm, timeStemp: 1985460995, mcOn: false
