timeStemp,Label,AP1_Corrected Distance (mm),AP2_Corrected Distance (mm),AP3_Corrected Distance (mm),AP4_Corrected Distance (mm),AP1_Rssi,AP2_Rssi,AP3_Rssi,AP4_Rssi
725634686,6-6,2854.479267635972,2571.878787878788,4291.698750821827,540.3125393824827,-58.0,-66.0,-57.0,-49.0
725634700,6-6,3056.564943584361,2580.43135391924,4376.628895184136,283.77407932011334,-59.0,-66.0,-57.0,-55.0
725634715,6-6,3082.215730905412,3031.612189054726,4095.6337954486007,471.84033035099793,-59.0,-66.0,-57.0,-55.0
725634729,6-6,2812.9046535154275,2843.104550102249,4042.4220241884154,215.70378151260505,-57.0,-66.0,-57.0,-55.0
725634744,6-6,2730.630343007916,2812.950802692905,4064.2720311486046,397.0223325062036,-58.0,-66.0,-56.0,-49.0
725634758,6-6,2830.5409067222517,2810.1397185880032,4370.608757982536,462.2933579335794,-59.0,-67.0,-56.0,-55.0
725634773,6-6,3082.8550222662047,2755.16510271367,4503.604864383038,488.5300546448088,-57.0,-66.0,-57.0,-54.0
725634786,6-6,2722.727966324652,2687.5156998403404,4273.694532942526,383.2335329341317,-58.0,-66.0,-55.0,-47.0
725634801,6-6,2894.451055174168,2978.9980444879,4299.047550052687,359.1954022988506,-59.0,-67.0,-56.0,-54.0
725634816,6-6,2938.532782653588,2976.8150952613582,4310.494431235139,433.6394686907021,-59.0,-66.0,-57.0,-54.0
725634830,6-6,2949.9549105986007,2797.3402917505027,3129.236681306091,167.91808118081178,-58.0,-66.0,-52.0,-55.0
725634844,6-6,2831.278603075319,2519.39146567718,4156.165669171018,287.8164435946462,-58.0,-66.0,-56.0,-54.0
725634859,6-6,2967.6423357664235,2409.2179937952437,4688.52428917506,372.9047005795235,-58.0,-67.0,-57.0,-49.0
725634873,6-6,3134.029175050302,2884.737246161466,4414.332104778202,688.828133862734,-59.0,-67.0,-55.0,-52.0
725634888,6-6,2967.032348446256,2882.595644642415,4381.130161917911,490.01766138855055,-59.0,-66.0,-57.0,-55.0
725634903,6-6,2728.180813661477,2504.537813399096,4230.52247043364,314.96635514018686,-58.0,-66.0,-55.0,-54.0
725634917,6-6,3038.5880248091607,2316.5443234836703,4150.351424519788,311.22260509993106,-59.0,-66.0,-56.0,-50.0
725634932,6-6,3157.856056766346,2957.3115748604705,4720.1625965611765,282.5932415519399,-58.0,-66.0,-55.0,-54.0
725634947,6-6,2928.9839074679403,2748.9434008897674,4126.942186899115,417.78427787934186,-59.0,-67.0,-57.0,-55.0
725634963,6-6,2820.476755447942,2385.5353266434568,4211.494908350305,241.66849315068492,-59.0,-66.0,-56.0,-55.0
725634979,6-6,2627.3391723787763,2087.7726447448053,4381.778526904974,263.6111842105263,-58.0,-66.0,-56.0,-53.0
725634993,6-6,2680.69479679006,2441.322315705128,4337.819298926401,250.59375,-58.0,-66.0,-55.0,-54.0
725635007,6-6,3097.8853584138283,2549.546115935226,4343.074367492973,241.6,-58.0,-67.0,-57.0,-49.0
725635021,6-6,3097.098094027954,2224.000199960008,4242.275163482497,312.4357231149567,-58.0,-66.0,-56.0,-55.0
725635036,6-6,2910.936763129689,2450.7847609803443,5374.302197802198,296.6939281288724,-58.0,-67.0,-52.0,-53.0
725635049,6-6,2986.542355889724,2957.633159592951,4187.508416656119,504.3832004904966,-58.0,-67.0,-57.0,-54.0
725635063,6-6,2834.2332376728414,2643.215571776156,4132.2392504171485,356.23812539582013,-58.0,-66.0,-55.0,-54.0
725635078,6-6,3164.271203656678,2588.566533266633,4250.996273930362,370.7560819462228,-59.0,-67.0,-56.0,-49.0
725635092,6-6,3013.620425321464,2926.400785854617,4366.921193470698,538.3854781582055,-59.0,-67.0,-56.0,-54.0
725635107,6-6,3326.7733197035523,2169.252396166134,4284.577052577053,518.3673597983617,-54.0,-67.0,-56.0,-55.0
725635120,6-6,2662.487522510934,2742.775841770662,4303.308225330425,327.1980582524272,-58.0,-66.0,-56.0,-54.0
725635135,6-6,3139.382019577537,2902.875517661388,4288.450255754476,336.7232543241512,-58.0,-66.0,-56.0,-50.0
725635149,6-6,2715.557377049181,3042.2069395906137,5444.557621698448,523.6489174956114,-57.0,-66.0,-55.0,-55.0
725635164,6-6,3116.9005115089512,2968.685600398605,4178.903946002077,458.84531059683314,-59.0,-66.0,-56.0,-55.0
725635178,6-6,2940.085520974289,2682.6398938736133,4285.131977723093,483.05871990604817,-59.0,-66.0,-55.0,-55.0
725635193,6-6,3062.9947409939523,2519.9758756668984,4217.400127469726,58.36002737850787,-59.0,-66.0,-57.0,-50.0
725635208,6-6,3204.596634236129,2821.282775712516,4343.074367492973,454.7422867513611,-60.0,-66.0,-57.0,-55.0
