Starting Wi-Fi RTT Ranging...
Label: 1-3, Timestamp: 2025-01-10 12:34:13.479, AP SSID: MCSLab RTT AP3, BSSID: e4:5e:1b:a0:5e:85, Rssi: -64, Distance: 10166 mm, StdDev: 1417 mm, timeStemp: 7252043867, mcOn: true
Label: 1-3, Timestamp: 2025-01-10 12:34:13.479, AP SSID: MCSLab RTT AP3, BSSID: b0:e4:d5:88:16:86, Rssi: -46, Distance: -147 mm, StdDev: 342 mm, timeStemp: 7252043867, mcOn: true
Label: 1-3, Timestamp: 2025-01-10 12:34:13.603, AP SSID: MCSLab RTT AP3, BSSID: e4:5e:1b:a0:5e:85, Rssi: -64, Distance: 10283 mm, StdDev: 1340 mm, timeStemp: 7252043994, mcOn: true
Label: 1-3, Timestamp: 2025-01-10 12:34:13.603, AP SSID: MCSLab RTT AP3, BSSID: e4:5e:1b:a0:5e:85, Rssi: -64, Distance: 10283 mm, StdDev: 1340 mm, timeStemp: 7252043994, mcOn: true
Label: 1-3, Timestamp: 2025-01-10 12:34:13.603, AP SSID: MCSLab RTT AP3, BSSID: b0:e4:d5:88:16:86, Rssi: -46, Distance: -108 mm, StdDev: 341 mm, timeStemp: 7252043994, mcOn: true
Label: 1-3, Timestamp: 2025-01-10 12:34:13.717, AP SSID: MCSLab RTT AP3, BSSID: e4:5e:1b:a0:5e:85, Rssi: -64, Distance: 10400 mm, StdDev: 1335 mm, timeStemp: 7252044106, mcOn: true
Label: 1-3, Timestamp: 2025-01-10 12:34:13.717, AP SSID: MCSLab RTT AP3, BSSID: e4:5e:1b:a0:5e:85, Rssi: -64, Distance: 10400 mm, StdDev: 1335 mm, timeStemp: 7252044106, mcOn: true
Label: 1-3, Timestamp: 2025-01-10 12:34:13.717, AP SSID: MCSLab RTT AP3, BSSID: b0:e4:d5:88:16:86, Rssi: -46, Distance: -186 mm, StdDev: 341 mm, timeStemp: 7252044106, mcOn: true
Label: 1-3, Timestamp: 2025-01-10 12:34:13.831, AP SSID: MCSLab RTT AP3, BSSID: e4:5e:1b:a0:5e:85, Rssi: -63, Distance: 10127 mm, StdDev: 1449 mm, timeStemp: 7252044221, mcOn: true
Label: 1-3, Timestamp: 2025-01-10 12:34:13.831, AP SSID: MCSLab RTT AP3, BSSID: e4:5e:1b:a0:5e:85, Rssi: -63, Distance: 10127 mm, StdDev: 1449 mm, timeStemp: 7252044221, mcOn: true
Label: 1-3, Timestamp: 2025-01-10 12:34:13.831, AP SSID: MCSLab RTT AP3, BSSID: b0:e4:d5:88:16:86, Rssi: -46, Distance: 8 mm, StdDev: 276 mm, timeStemp: 7252044221, mcOn: true
Label: 1-3, Timestamp: 2025-01-10 12:34:13.966, AP SSID: MCSLab RTT AP3, BSSID: e4:5e:1b:a0:5e:85, Rssi: -62, Distance: 10205 mm, StdDev: 1330 mm, timeStemp: 7252044351, mcOn: true
Label: 1-3, Timestamp: 2025-01-10 12:34:13.966, AP SSID: MCSLab RTT AP3, BSSID: e4:5e:1b:a0:5e:85, Rssi: -62, Distance: 10205 mm, StdDev: 1330 mm, timeStemp: 7252044351, mcOn: true
Label: 1-3, Timestamp: 2025-01-10 12:34:13.966, AP SSID: MCSLab RTT AP3, BSSID: b0:e4:d5:88:16:86, Rssi: -44, Distance: -184 mm, StdDev: 420 mm, timeStemp: 7252044351, mcOn: true
Label: 1-3, Timestamp: 2025-01-10 12:34:14.112, AP SSID: MCSLab RTT AP3, BSSID: e4:5e:1b:a0:5e:85, Rssi: -64, Distance: 10166 mm, StdDev: 1355 mm, timeStemp: 7252044498, mcOn: true
Label: 1-3, Timestamp: 2025-01-10 12:34:14.112, AP SSID: MCSLab RTT AP3, BSSID: e4:5e:1b:a0:5e:85, Rssi: -64, Distance: 10166 mm, StdDev: 1355 mm, timeStemp: 7252044498, mcOn: true
Label: 1-3, Timestamp: 2025-01-10 12:34:14.112, AP SSID: MCSLab RTT AP3, BSSID: b0:e4:d5:88:16:86, Rssi: -45, Distance: 8 mm, StdDev: 291 mm, timeStemp: 7252044498, mcOn: true
Label: 1-3, Timestamp: 2025-01-10 12:34:14.263, AP SSID: MCSLab RTT AP3, BSSID: e4:5e:1b:a0:5e:85, Rssi: -61, Distance: 10127 mm, StdDev: 1395 mm, timeStemp: 7252044649, mcOn: true
Label: 1-3, Timestamp: 2025-01-10 12:34:14.263, AP SSID: MCSLab RTT AP3, BSSID: e4:5e:1b:a0:5e:85, Rssi: -61, Distance: 10127 mm, StdDev: 1395 mm, timeStemp: 7252044649, mcOn: true
Label: 1-3, Timestamp: 2025-01-10 12:34:14.263, AP SSID: MCSLab RTT AP3, BSSID: b0:e4:d5:88:16:86, Rssi: -42, Distance: -1309 mm, StdDev: 1410 mm, timeStemp: 7252044649, mcOn: true
Label: 1-3, Timestamp: 2025-01-10 12:34:14.400, AP SSID: MCSLab RTT AP3, BSSID: e4:5e:1b:a0:5e:85, Rssi: -64, Distance: 10361 mm, StdDev: 1253 mm, timeStemp: 7252044785, mcOn: true
Label: 1-3, Timestamp: 2025-01-10 12:34:14.400, AP SSID: MCSLab RTT AP3, BSSID: e4:5e:1b:a0:5e:85, Rssi: -64, Distance: 10361 mm, StdDev: 1253 mm, timeStemp: 7252044785, mcOn: true
Label: 1-3, Timestamp: 2025-01-10 12:34:14.400, AP SSID: MCSLab RTT AP3, BSSID: b0:e4:d5:88:16:86, Rssi: -46, Distance: -186 mm, StdDev: 358 mm, timeStemp: 7252044785, mcOn: true
