timeStemp,Label,AP1_Corrected Distance (mm),AP2_Corrected Distance (mm),AP3_Corrected Distance (mm),AP4_Corrected Distance (mm),AP1_Rssi,AP2_Rssi,AP3_Rssi,AP4_Rssi
493532029,10,3742.567303940695,7212.447517905655,9046.121260638743,-307.98242368177614,-58.0,-68.0,-68.0,-49.0
493532043,10,3607.768115942029,7236.939107611548,9026.34499285294,-235.11111111111111,-58.0,-68.0,-67.0,-49.0
493532056,10,3609.325536439204,8256.812106456216,10052.469425976216,-302.9381255686988,-58.0,-68.0,-68.0,-49.0
493532068,10,3600.073098256735,9613.488257614605,9162.239549436796,-333.14837576821776,-59.0,-68.0,-67.0,-49.0
493532081,10,3561.694901960784,7717.731241914619,10069.82590075412,-259.10613943808534,-59.0,-68.0,-68.0,-49.0
493532096,10,3732.580837173579,7917.791562676113,9178.969086927224,-233.5540838852097,-58.0,-68.0,-68.0,-49.0
493532110,10,3662.891986062718,7909.7600517757455,9183.478377248011,-354.5661157024793,-59.0,-68.0,-67.0,-49.0
493532124,10,2078.8920007673123,8225.568,9125.1650477307,-262.38250790305585,-52.0,-68.0,-67.0,-49.0
493532138,10,3726.573426573427,7237.358218904146,8872.773190045249,-282.3843902439025,-58.0,-67.0,-68.0,-49.0
493532154,10,3567.290652003142,7429.982514785293,8993.0,-190.66773418734988,-58.0,-67.0,-67.0,-41.0
493532168,10,3675.401771653543,9766.401233319855,8904.622003835091,-249.23439340400472,-58.0,-68.0,-67.0,-47.0
493532183,10,3689.9290513834,9667.095402066032,9022.551773407296,-290.31494483450354,-58.0,-68.0,-68.0,-49.0
493532197,10,3518.9159240604417,7717.731241914619,8867.027381537957,-216.5813715455476,-58.0,-67.0,-67.0,-44.0
493532212,10,3531.6840490797545,7226.960500385572,9964.803965581745,-356.6292601828761,-58.0,-67.0,-68.0,-49.0
493532227,10,2892.488924687877,7906.611667073468,9042.311404986522,-283.2133072407045,-53.0,-67.0,-67.0,-49.0
493532241,10,3675.172413793104,9556.965025641024,9824.221668971875,-232.2722283205269,-58.0,-67.0,-68.0,-49.0
493532255,10,3674.985434064867,7879.47517330324,9950.901093807934,-297.47584789311406,-58.0,-68.0,-68.0,-49.0
493532270,10,3787.6406712734456,7888.400506246428,9024.827322404371,-159.63912630579296,-58.0,-68.0,-68.0,-46.0
493532285,10,3662.18308496226,7832.006606851549,8550.403902827558,-18.71816638370119,-58.0,-68.0,-68.0,-46.0
493532299,10,3659.3502223941214,7979.840003207956,8773.264712986072,-310.27865796831315,-58.0,-68.0,-68.0,-49.0
493532314,10,3648.112739351309,7992.479276076594,8787.41399887106,-283.2133072407045,-58.0,-68.0,-68.0,-49.0
493532329,10,3758.699059561128,8082.426252823559,9142.773806527392,-307.98242368177614,-52.0,-68.0,-68.0,-49.0
493532343,10,3677.573567067165,7834.883341491271,9024.827322404371,-279.3861003861004,-58.0,-68.0,-68.0,-49.0
493532358,10,3776.192376771104,9609.101874490629,8996.088242688344,-312.6093896713615,-58.0,-68.0,-68.0,-49.0
493532372,10,2864.7985640207417,9654.770146520146,9142.006795302012,-291.484390735146,-52.0,-68.0,-68.0,-49.0
493532386,10,3586.6947040498444,7779.614379084968,9944.342355796154,-357.81901584653883,-58.0,-68.0,-68.0,-49.0
493532401,10,3417.833301102301,9613.488257614605,8914.530618973049,-307.98242368177614,-52.0,-68.0,-66.0,-49.0
493532416,10,3556.8130017622875,8082.426252823559,9867.496173945505,-354.2733278282411,-58.0,-68.0,-68.0,-49.0
493532431,10,3521.5568724909194,9615.959221123458,9188.399003322258,-236.4245810055866,-58.0,-68.0,-68.0,-49.0
493532446,10,3569.3206742879283,9600.06889923108,9118.293113546984,-287.7176938369781,-58.0,-67.0,-68.0,-49.0
493532461,10,3624.74102116094,7893.642266634562,9138.173668763104,-340.6247755834829,-58.0,-68.0,-68.0,-49.0
493532475,10,3546.930281155016,7854.84675072745,10104.100231803432,-327.96542783059635,-58.0,-68.0,-68.0,-49.0
493532490,10,2072.927314460597,9544.96731493738,9049.171457472814,-81.19275123558484,-58.0,-68.0,-68.0,-47.0
493532504,10,3784.7509607993857,7891.561233551303,9187.53689759036,-268.6094929881337,-53.0,-68.0,-68.0,-47.0
493532519,10,3673.7648410570655,7743.607005450464,8481.000084438065,-274.23017621145374,-58.0,-68.0,-65.0,-49.0
493532535,10,3787.118838885642,9542.692767360397,9001.663061845218,-329.96173913043475,-58.0,-68.0,-68.0,-49.0
493532550,10,3650.252394916911,8078.445313814572,9961.982275426872,-317.72450805008947,-58.0,-68.0,-68.0,-49.0
493532565,10,2963.5529105821165,7872.663966299416,10001.284520792266,-198.87218045112783,-53.0,-68.0,-68.0,-43.0
493532579,10,3829.959500959693,7893.008747993579,9092.896174863388,-286.5782178217822,-58.0,-68.0,-68.0,-49.0
493532594,10,3793.030439024392,7109.297052339348,9147.378578024009,-258.0321243523316,-58.0,-68.0,-68.0,-49.0
493532608,10,3574.1684128831976,7843.438096766429,9112.955427328983,-315.27367424242425,-58.0,-68.0,-68.0,-49.0
493532623,10,3779.020412130637,9555.56113868909,9151.21943231441,-258.679706601467,-58.0,-67.0,-68.0,-49.0
493532637,10,3905.129890453834,9544.96731493738,8722.704233363127,-279.3861003861004,-58.0,-68.0,-68.0,-49.0
